

Interrupt IDs
-------------

Name                                     Number
=====                                    ============
WCDMA_SEAINTSCRC1                        189  (0x0BD)
WCDMA_SEAINTPSC                          190  (0x0BE)
WCDMA_SEAINTIRM                          191  (0x0BF)
WCDMA_SEAINTSSC0                         192  (0x0C0)
WCDMA_SEAINTSSC1                         193  (0x0C1)
WCDMA_TCTIINT0                           194  (0x0C2)
WCDMA_TCTIINT1                           195  (0x0C3)
WCDMA_TCTIINT2                           196  (0x0C4)
WCDMA_TCTIINT3                           197  (0x0C5)
WCDMA_TCTIINT4                           198  (0x0C6)
WCDMA_TCTIINT5                           199  (0x0C7)
WCDMA_TCTIINT6                           200  (0x0C8)
WCDMA_TCTIINT7                           201  (0x0C9)
WCDMA_TCTIINT8                           202  (0x0CA)
WCDMA_TCTIINT9                           203  (0x0CB)
WCDMA_TCTIINT10                          204  (0x0CC)
WCDMA_TCTIINT11                          205  (0x0CD)
WCDMA_TCTIINT12                          206  (0x0CE)
WCDMA_TCTIINT13                          207  (0x0CF)
WCDMA_TCTIINT14                          208  (0x0D0)
WCDMA_TCTIINT15                          209  (0x0D1)
WCDMA_TAPPERTRACEINT                     210  (0x0D2)
WCDMA_TAPPERPRGENINT0                    211  (0x0D3)
WCDMA_TAPPERPRGENINT1                    212  (0x0D4)
WCDMA_TAPPERPRGENINT2                    213  (0x0D5)
WCDMA_TAPPERPRGENINT3                    214  (0x0D6)
WCDMA_TAPPERPRGENINT4                    215  (0x0D7)
WCDMA_TAPPERPRGENINT5                    216  (0x0D8)
WCDMA_TAPPERPRGENINT6                    217  (0x0D9)
WCDMA_TAPPERPRGENINT7                    218  (0x0DA)
WCDMA_TAPPERPRGENINT8                    219  (0x0DB)
WCDMA_TAPPERPRGENINT9                    220  (0x0DC)
WCDMA_TAPPERPRGENINT10                   221  (0x0DD)
WCDMA_TAPPERPRGENINT11                   222  (0x0DE)
WCDMA_TAPPERPRGENINT12                   223  (0x0DF)
WCDMA_TAPPERPRGENINT13                   224  (0x0E0)
WCDMA_TAPPERPRGENINT14                   225  (0x0E1)
WCDMA_TAPPERPRGENINT15                   226  (0x0E2)
